weaponid,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail
22431,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Ten bottle bombs were used in the attack.
22432,6,Explosives,15,Vehicle,,,,,,,,,,,,,A suicide bomber driving a motorcycle with explosives weighing up to six kilograms was used in the attack.
22433,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remotely controlled explosive device weighing around 3kg and planted on a bicycle was used in the attack.
22434,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,An unspecified sniper rifle was used in the attack.
22435,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,Multiple RPGs and unspecified machine guns were used in the attack.
22436,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote controlled explosive device comprised of 3kg of explosive material was used in the attack.
22437,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A low-intensity bomb weighing 30 grams made from local explosive materials and placed inside of a bag was used in the attack.
22438,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Four canisters containing 5kg of explosives each were used in the attack.
22439,6,Explosives,8,Landmine,,,,,,,,,,,,,A homemade landmine was used in the attack.
22440,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Two surface-to-air missiles were used in the attack.
22441,6,Explosives,7,Grenade,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,A grenade and automatic weapons were used in the attack.
22442,6,Explosives,29,Sticky Bomb,,,,,,,,,,,,,A remote controlled bomb planted in a car was used in the attack.
22443,6,Explosives,15,Vehicle,,,,,,,,,,,,,A suicide bomber driving an explosive-laden vehicle was used in the attack.
22444,2,Chemical,,,,,,,,,,,,,,,A gas was used in the attack.
22445,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A five kilogram bomb concealed in a tin can was used in the attack.
22446,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote trigger bomb concealed in a bag was used in the attack.
22447,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A bomb made with a steel pipe and concealed in a cardboard box was used in the attack.
22448,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remotely controlled bomb concealed in a pot was used in the attack.
22449,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,At least 10 rockets were used in the attack.
22450,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,Two remotely controlled bombs each weighing 6.5kg were used in the attack.
22451,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,"Four ""powerful"" bombs were used in the attack which created craters with about 12 inches wide and 4 inches deep."
22452,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A bomb planted in front of a store was used in the attack.
22453,5,Firearms,3,Handgun,,,,,,,,,,,,,A PT140 Taurus .40-caliber pistol was used in the attack.
22454,6,Explosives,14,Time Fuse,,,,,,,,,,,,,A three-kilogram locally-made timed explosive device was used in the attack.
22455,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,A M16 rifle was used in the attack.
22456,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A homemade bomb containing ammonium nitrate was used in the attack.
22457,5,Firearms,3,Handgun,,,,,,,,,,,,,A pistol equipped with a silencer was used in the attack.
22458,6,Explosives,16,Unknown Explosive Type,5,Firearms,2,Automatic or Semi-Automatic Rifle,10,Vehicle (not to include vehicle-borne explosives i.e. car or truck bombs),,,,,,,Multiple sophisticated firearms multiple thrown bombs and 50 Toyota Hilux vehicles were used in the attack.
22459,5,Firearms,5,Unknown Gun Type,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,Firearms and a knife were used in the attack.
22460,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A petrol bomb was thrown in the attack.
22461,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Five shots were fired in the attack.
22462,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,"A box marked ""bomb"" was used in the attack."
22463,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,Rockets and machine guns were used in the attack.
22464,6,Explosives,7,Grenade,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,An AK-47 assault rifle M14 and M16 automatic rifles a rocket-propelled grenade (RPG) a grenade and other explosive devices were used in the attack.
22465,6,Explosives,7,Grenade,6,Explosives,16,Unknown Explosive Type,,,,,,,,,A grenade and another explosive device were used in the attack.
22466,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A bomb containing three kilograms of explosives packed in a canister was used in the attack.
22467,6,Explosives,7,Grenade,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,2,Chemical,,,,,,,A grenade tear gas and three Molotov cocktails were used in the attack.
22468,6,Explosives,15,Vehicle,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,An explosives-laden motorcycle and machine guns were used in the attack.
22469,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A bomb planted below a bridge was used in the attack.
22470,5,Firearms,5,Unknown Gun Type,9,Melee,23,Knife or Other Sharp Object,9,Melee,24,Rope or Other Strangling Device,,,,,Gunmen armed with knives were used in the attack.
22471,6,Explosives,15,Vehicle,,,,,,,,,,,,,A bomb attached to a motorcycle driven by a suicide bomber was used in the attack.
22472,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A four kg bomb was used in the attack.
22473,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Two bombs weighing four kg each were used in the attack.
22474,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Multiple machine guns were used in the attack.
22475,6,Explosives,7,Grenade,,,,,,,,,,,,,A hand grenade which failed to detonate was thrown in the attack.
22476,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Firearms and a Hyundai i-10 car were used in the attack.
22477,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Five kilograms of explosives were used in the attack.
22478,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A large quantity of explosives were used in the attack.
22479,5,Firearms,5,Unknown Gun Type,8,Incendiary,18,Arson/Fire,,,,,,,,,Firearms and a device for burning someone was used in the attack.
22480,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Five roadside bombs each containing 10kg of explosives were used in the attack.
22481,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,Two remotely controlled roadside bombs were used in the attack.
22482,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote controlled bomb planted in the road side was used in the attack.
22483,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A homemade bomb consisting of two gas containers tied together a container filled with gas lighters and matches.
22484,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,Electrical wires four pieces of nine-volt dry cell batteries and a Nokia 3310 mobile phone trigger device were used in the attack.
22485,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remotely triggered bomb made with 3.5 kilograms of explosives were used in the attack.
22486,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,An M14 rifle was used in the attack.
22487,5,Firearms,3,Handgun,,,,,,,,,,,,,A .45 pistol and a 9mm caliber pistol were used in the attack.
22488,6,Explosives,15,Vehicle,,,,,,,,,,,,,The target's Nissan Murano was blown up in the attack.
22489,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,Rockets and automatic firearms were used in the attack.
22490,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A homemade explosive device made from a gas bottle and an electronic trigger detonator was used in the attack.
22491,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A bomb on a bike was used in the attack.
22492,6,Explosives,15,Vehicle,,,,,,,,,,,,,A booby-trapped two-wheeler and an explosive vest was used in the attack.
22493,6,Explosives,8,Landmine,8,Incendiary,18,Arson/Fire,,,,,,,,,Landmines placed in the building were used in the attack.
22494,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A one-kilogram explosive device was used in the attack.
22495,6,Explosives,15,Vehicle,,,,,,,,,,,,,A remote-control bomb attached to a motorcycle was used in the attack.
22496,6,Explosives,7,Grenade,6,Explosives,11,Projectile (rockets mortars RPGs etc.),6,Explosives,16,Unknown Explosive Type,,,,,"Grenades rockets and ""a lobbed bomb"" were used in the attack."
22497,6,Explosives,11,Projectile (rockets mortars RPGs etc.),6,Explosives,16,Unknown Explosive Type,,,,,,,,,A rocket and a thrown bomb were used in the attack.
22498,6,Explosives,9,Letter Bomb,,,,,,,,,,,,,An explosives-laden package was used in the attack.
22499,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,An explosive hidden in a vegetable cart was used in the attack.
22500,6,Explosives,13,Suicide (carried bodily by human being),5,Firearms,5,Unknown Gun Type,,,,,,,,,A suicide vest used after shots were fired was used in the attack.
22501,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Fired rocket shells were used in the attack.
22502,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remotely triggered roadside bomb was used in the attack.
22503,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A bomb hidden in a flower pot was used in the attack.
22504,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Artillery was used in the attack.
22505,6,Explosives,29,Sticky Bomb,,,,,,,,,,,,,A remotely controlled bomb planted in a car was used in the attack.
22506,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote detonated explosive was used in the attack.
22507,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote-triggered bomb planted in the roadside was used in the attack.
22508,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A locally made bomb weighing half of a kg was used in the attack.
22509,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistols equipped with silencers were used in the attack.
22510,6,Explosives,15,Vehicle,6,Explosives,16,Unknown Explosive Type,,,,,,,,,An explosive laden motorcycle as well as another unspecified explosive device were used in the attack.
22511,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Rifles loaded with 5.56mm bullet shells were used in the attack.
22512,5,Firearms,2,Automatic or Semi-Automatic Rifle,5,Firearms,3,Handgun,,,,,,,,,Automatic rifles as well as handguns were used in the attack.
22513,6,Explosives,15,Vehicle,,,,,,,,,,,,,A suicide driver in a car bomb prematurely detonated in the attack.
22514,6,Explosives,13,Suicide (carried bodily by human being),5,Firearms,5,Unknown Gun Type,,,,,,,,,Four armed suicide bombers wearing bombs made from explosive-filled water bottles were used in the attack.
22515,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A bag full of explosive material was thrown in the attack.
22516,6,Explosives,15,Vehicle,,,,,,,,,,,,,A motorcycle bomb with a remote trigger system was used in the attack.
22517,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A low intensity crude bomb was used in the attack.
22518,6,Explosives,7,Grenade,,,,,,,,,,,,,Multiple hand grenades were thrown in the attack.
22519,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A bomb placed under a caravan was used in the attack.
22520,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,5,Unknown Gun Type,,,,,,,,,Multiple rockets and small arms were used in the attack.
22521,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Two AK-56 assault rifles were used in the attack.
22522,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Unspecified firearms equipped with silencers were used in the attack.
22523,6,Explosives,7,Grenade,,,,,,,,,,,,,A hand grenade was used in the attack
22524,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,A partially exploded pipe bomb was used in the attack.
22525,6,Explosives,15,Vehicle,,,,,,,,,,,,,An SUV with half a kg of gunpowder rigged to detonate upon one of its doors opening was used in the attack.
22526,6,Explosives,15,Vehicle,,,,,,,,,,,,,An intense car bomb was used in the attack.
22527,6,Explosives,15,Vehicle,,,,,,,,,,,,,A motorcycle was driven in to ranger's vehicle in the attack.
22528,6,Explosives,7,Grenade,5,Firearms,5,Unknown Gun Type,,,,,,,,,A hand grenade was thrown and over 200 shots were fired in the attack.
22529,6,Explosives,29,Sticky Bomb,,,,,,,,,,,,,A professionally made bomb attached to the target's car was used in the attack.
22530,6,Explosives,15,Vehicle,,,,,,,,,,,,,A tanker truck bomb was driven into the target's house in the attack.
22531,6,Explosives,15,Vehicle,,,,,,,,,,,,,A motorcycle bomb with a remote trigger device was used in the attack.
22532,12,Other,,,,,,,,,,,,,,,Firecrackers and iron pentanque balls were thrown in the attack.
22533,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,An explosive device weighing about 15 kg was used in the attack.
22534,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Around five mortars were fired in the attack.
22535,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,A suicide bomber wearing a suicide vest was used in the attack.
22536,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Heavy arms were used in the attack.
22537,6,Explosives,14,Time Fuse,,,,,,,,,,,,,Two time fused bombs were used in the attack.
22538,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Light machine guns were used in the attack.
22539,6,Explosives,11,Projectile (rockets mortars RPGs etc.),6,Explosives,12,Remote Trigger,5,Firearms,5,Unknown Gun Type,,,,,A remote controlled roadside bomb a rocket and unspecified firearms were used in the attack.
22540,6,Explosives,15,Vehicle,,,,,,,,,,,,,A remote controlled explosive device planted in a motorcycle was used in the attack.
22541,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,Two remote controlled roadside explosive devices were used in the attack.
22542,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Thirty mortars were used in the attack.
22543,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Thirty-five mortars were used in the attack.
22544,6,Explosives,10,Pressure Trigger,,,,,,,,,,,,,A bomb which detonated when the target vehicle struck it was used in the attack.
22545,6,Explosives,11,Projectile (rockets mortars RPGs etc.),6,Explosives,16,Unknown Explosive Type,5,Firearms,5,Unknown Gun Type,,,,,A bomb planted in the roadside multiple RPGs and unspecified firearms were used in the attack.
22546,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A pressure cooker bomb weighing four kg hidden in a polythene bag was used in the attack.
22547,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Multiple suppressed firearms were used in the attack.
22548,6,Explosives,15,Vehicle,,,,,,,,,,,,,A suicide car bomb containing 1500-2000 kg of explosives was used in the attack.
22549,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A roadside explosive device containing 2kg of explosive material was used in the attack.
22550,6,Explosives,16,Unknown Explosive Type,5,Firearms,5,Unknown Gun Type,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,Petrol bombs and thrown explosives were used in the attack.
22551,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A roadside explosive device was used in the attack.
22552,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A seven kilogram explosive with a cell phone detonator and hidden in a jacket was used in the attack.
22553,6,Explosives,15,Vehicle,5,Firearms,5,Unknown Gun Type,,,,,,,,,A suicide driver in car loaded with explosives and multiple unspecified weapons were used in the attack.
22554,6,Explosives,7,Grenade,,,,,,,,,,,,,A fragmentation grenade was thrown in the attack.
22555,6,Explosives,15,Vehicle,,,,,,,,,,,,,A truck filled with explosive material used to make anti-tank mines was used in the attack.
22556,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote-controlled roadside bomb constructed from 81-mm mortars utilizing a mobile phone as a triggering mechanism and containing a nine-volt battery was used in the attack.
22557,6,Explosives,7,Grenade,,,,,,,,,,,,,A grenade fired from a M203 grenade launcher was used in the attack.
22558,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A unspecified explosive was thrown in the attack.
22559,9,Melee,21,Blunt Object,9,Melee,22,Hands Feet Fists,,,,,,,,,Lathis (wooden staffs used to practice martial arts) and strangling hands were used in the attack.
22560,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,A rocket was fired in the attack.
22561,6,Explosives,31,Pipe Bomb,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,A thrown pipe bomb and a machete was used in the attack.
22562,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A 45 kilogram pressure cooker bomb containing shrapnel was used in the attack.
22563,6,Explosives,7,Grenade,,,,,,,,,,,,,An MK2 fragmentation grenade was used in the attack.
22564,6,Explosives,29,Sticky Bomb,,,,,,,,,,,,,A remote controlled bomb attached to a motorcycle was used in the attack.
22565,6,Explosives,10,Pressure Trigger,,,,,,,,,,,,,A bomb which detonated upon being struck by a vehicle in the roadside was used in the attack.
22566,6,Explosives,15,Vehicle,,,,,,,,,,,,,A Seracha car filled with explosives was driven into the targeted convoy in the attack.
22567,5,Firearms,5,Unknown Gun Type,10,Vehicle (not to include vehicle-borne explosives i.e. car or truck bombs),,,,,,,,,,,Multiple suppressed firearms and four SUVs were used in the attack .
22568,2,Chemical,,,,,,,,,,,,,,,An unspecified poisonous gas was used in the attack.
22569,6,Explosives,14,Time Fuse,,,,,,,,,,,,,A timed explosive device consisting of a half-gallon plastic container containing ammonium nitrate fuel oil and nails was used in the attack.
22570,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A four kilogram pressure cooker bomb hidden in a polythene bag was used in the attack.
22571,8,Incendiary,18,Arson/Fire,11,Sabotage Equipment,,,,,,,,,,,Paint was used in the attack.
22572,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,Mortars and rifles were used in the attack.
22573,6,Explosives,11,Projectile (rockets mortars RPGs etc.),8,Incendiary,19,Molotov Cocktail/Petrol Bomb,11,Sabotage Equipment,,,,,,,Rudimentary mortars Molotov Cocktails and bolt cutters were used in the attack.
22574,6,Explosives,7,Grenade,,,,,,,,,,,,,A thrown Mk 2 fragmentation grenade was used in the attack.
22575,6,Explosives,15,Vehicle,,,,,,,,,,,,,Three car bombs were used in the attack.
22576,6,Explosives,15,Vehicle,,,,,,,,,,,,,A motorcycle bomb was driven into a patrol in the attack.
22577,6,Explosives,29,Sticky Bomb,,,,,,,,,,,,,A magnetic bomb was attached to a civilian's car in the attack.
22578,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A Molotov cocktail was thrown in the attack.
22579,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,An bomb remotely triggered to go off after a previous explosion was used in the attack.
22580,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Multiple mortars were fired in the attack.
22581,6,Explosives,31,Pipe Bomb,5,Firearms,5,Unknown Gun Type,,,,,,,,,A pipe bomb and firearms were used in the attack.
22582,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,An unspecified explosive device was thrown in the attack.
22583,6,Explosives,15,Vehicle,,,,,,,,,,,,,A suicide driver drove a car filled with explosives into the targeted convoy in the attack.
22584,6,Explosives,15,Vehicle,,,,,,,,,,,,,A parked booby-trapped car bomb was used in the attack.
22585,6,Explosives,15,Vehicle,,,,,,,,,,,,,A driver drove his explosive filled car into a check point in the attack.
22586,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Multiple suppressed weapons were used in the attack.
22587,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosives were used in the attack.
22588,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Firearms were used in the attack.
22589,6,Explosives,15,Vehicle,,,,,,,,,,,,,Car bomb was used in the attack.
22590,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Roadside bomb was used in the attack.
22591,6,Explosives,,,,,,,,,,,,,,,Explosives were used in the attack.
22592,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,One homemade bomb was used in the attack.
22593,6,Explosives,11,Projectile (rockets mortars RPGs etc.),6,Explosives,16,Unknown Explosive Type,,,,,,,,,Rockets and explosives were used in the attack.
22594,6,Explosives,15,Vehicle,,,,,,,,,,,,,A remote-triggered motorcycle bomb was used in the attack.
22595,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Bicycle bomb was used in the attack.
22596,6,Explosives,7,Grenade,5,Firearms,5,Unknown Gun Type,,,,,,,,,Unknown weapons were used in the attack.
22597,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A gelatine explosive was used in the attack.
22598,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A roadside bomb and an unknown explosive device were used in the attack.
22599,6,Explosives,29,Sticky Bomb,,,,,,,,,,,,,A remotely controlled bomb attached to a motorcycle was used in the attack.
22600,6,Explosives,15,Vehicle,,,,,,,,,,,,,A vehicle rigged with explosives was detonated remotely in the attack.
22601,6,Explosives,15,Vehicle,,,,,,,,,,,,,A vehicle rigged with explosives was used in the attack.
22602,6,Explosives,13,Suicide (carried bodily by human being),,,,,,,,,,,,,A vest rigged with explosives was used in the attack.
22603,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,5,Unknown Gun Type,,,,,,,,,Mortars and possibly an armored personnel carrier were used in the attack.
22604,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A mobile phone battery was used to detonate the explosive in the attack.
22605,6,Explosives,15,Vehicle,,,,,,,,,,,,,A remote-controlled explosives-laden Daewoo vehicle containing five kilograms of C4 and utilizing a mobile phone as a triggering mechanism was used in the attack.
22606,1,Biological,,,,,,,,,,,,,,,Ricin in a letter was used in the attack.
22607,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A 5kg explosive containing ball bearings and nuts was found inside a flower pot in the attack.
22608,6,Explosives,13,Suicide (carried bodily by human being),5,Firearms,5,Unknown Gun Type,,,,,,,,,A vest rigged with explosives was used in the attack.
22609,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Three bombs were used in the attack.
22610,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A remote controlled explosive was used in the attack.
22611,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A five-kilogram remote-controlled pressure-cooker bomb was used in the attack.
22612,6,Explosives,7,Grenade,,,,,,,,,,,,,Two PRB 423 hand grenades were used in the attack.
22613,9,Melee,23,Knife or Other Sharp Object,10,Vehicle (not to include vehicle-borne explosives i.e. car or truck bombs),,,,,,,,,,,A machete and cleaver were used in the attack.
22614,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Silenced weapons are thought to be used in the attack.
22615,6,Explosives,7,Grenade,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,5,Unknown Gun Type,,,,,Grenades and homemade mortars were used in the attack.
22616,9,Melee,27,Unknown Weapon Type,,,,,,,,,,,,,Unknown weapons were used in the attack.
22617,6,Explosives,15,Vehicle,,,,,,,,,,,,,A minibus rigged with explosives was used in the attack.
22618,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,5,Unknown Gun Type,,,,,,,,,Artillery missiles and firearms were used in the attack.
22619,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A 50 kilogram explosive device was used in the attack.
22620,9,Melee,23,Knife or Other Sharp Object,12,Other,,,,,,,,,,,A smoke bomb and two knives were used in the attack.
22621,6,Explosives,7,Grenade,,,,,,,,,,,,,A PRB423 grenade was used in the attack.
22622,6,Explosives,15,Vehicle,,,,,,,,,,,,,A remote-controlled explosives-laden vehicle containing approximately 100 kilograms of explosive material was used in the attack.
22623,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,5,Unknown Gun Type,,,,,,,,,Assault rifles and rocket-propelled grenades were used in the attack.
22624,6,Explosives,15,Vehicle,,,,,,,,,,,,,A remote-controlled explosive device made from an 81 millimeter mortar and hidden in a car was used in the attack.
22625,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,A bomb with a cell phone detonator was used in the attack.
22626,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,An explosive ball was used in the attack.
22627,6,Explosives,13,Suicide (carried bodily by human being),6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,5,Unknown Gun Type,,,,,Suicide bomb rocket-propelled grenades and firearms were used in the attack.
22628,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A roadside bomb was used in the attack
22629,6,Explosives,12,Remote Trigger,,,,,,,,,,,,,Roadside bomb was used in the attack.
22630,6,Explosives,11,Projectile (rockets mortars RPGs etc.),5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,A rocket and a rifle was used in the attack.
22631,9,Melee,23,Knife or Other Sharp Object,,,,,,,,,,,,,A box-cutter was used in the attack.
22632,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A roadside explosive was used in the attack.
22633,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A homemade explosive was used in the attack.
22634,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A cooking tank bomb was used in the attack.
22635,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A gas-cylinder roadside bomb was used in the attack.
22636,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,An explosive constructed from a cooking gas cylinder was used in the attack.
22637,6,Explosives,15,Vehicle,,,,,,,,,,,,,Landmines on a motorcycle were used in the attack.
22638,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,Beer and tissues were used in the attack.
22639,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,A gun with a silencer was used in the attack.
22640,6,Explosives,15,Vehicle,,,,,,,,,,,,,"A car ""rigged with bombs"" was used in the attack."
22641,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A bomb hidden in a garbage can was used in the attack.
22642,6,Explosives,11,Projectile (rockets mortars RPGs etc.),13,Unknown,,,,,,,,,,,Tanks were used in the attack.
22643,6,Explosives,15,Vehicle,,,,,,,,,,,,,An explosives-laden pickup vehicle containing 1750 kilograms of explosive material was used in the attack.
22644,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,A roadside explosive device containing 10 kilograms of explosive material a time device and placed in tin of vegetable oil was used in the attack.
22645,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,Four locally-made explosive devices each weighing one and a half kilograms were used in the attack.
22646,9,Melee,23,Knife or Other Sharp Object,9,Melee,27,Unknown Weapon Type,,,,,,,,,
22647,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Two unspecified bombs were thrown at the target in the attack.
22648,12,Other,,,,,,,,,,,,,,,An unidentified gray powder mailed in an envelope was used in the attack.
22649,12,Other,,,,,,,,,,,,,,,An unidentified white powder in a mailed letter was used in the attack.
22650,6,Explosives,29,Sticky Bomb,,,,,,,,,,,,,A sticky bomb attached to the underside of a car was used in the attack.
22651,6,Explosives,15,Vehicle,6,Explosives,16,Unknown Explosive Type,,,,,,,,,A car bomb and a roadside bomb were used in the attack.
22652,6,Explosives,8,Landmine,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,A remote-controlled roadside landmine and automatic firearms were used in the attack.
22653,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Unspecified weapons and are dark rimmed Jeep Grand Cherokee were used in the attack.
22654,6,Explosives,11,Projectile (rockets mortars RPGs etc.),,,,,,,,,,,,,Two RPGs were fired in the attack.
22655,6,Explosives,8,Landmine,5,Firearms,5,Unknown Gun Type,,,,,,,,,A roadside landmine was detonated followed by firing from unspecified firearms in the attack.
